0,4,PIDs supported [01 - 20],,,,Bit encoded [A7..D0] == [PID $01..PID $20] See below
1,4,Monitor status since DTCs cleared. (Includes malfunction indicator lamp (MIL) status and number of DTCs.),,,,Bit encoded. See below
2,2,Freeze DTC,,,,
3,2,Fuel system status,,,,Bit encoded. See below
4,1,Calculated engine load value,0,100, %,A*100/255
5,1,Engine coolant temperature,-40,215,°C,A-40
6,1,Short term fuel % trim—Bank 1,-100 Subtracting Fuel (Rich Condition),99.22 Adding Fuel (Lean Condition), %,(A-128) * 100/128
7,1,Long term fuel % trim—Bank 1,-100 Subtracting Fuel (Rich Condition),99.22 Adding Fuel (Lean Condition), %,(A-128) * 100/128
8,1,Short term fuel % trim—Bank 2,-100 Subtracting Fuel (Rich Condition),99.22 Adding Fuel (Lean Condition), %,(A-128) * 100/128
9,1,Long term fuel % trim—Bank 2,-100 Subtracting Fuel (Rich Condition),99.22 Adding Fuel (Lean Condition), %,(A-128) * 100/128
0A,1,Fuel pressure,0,765,kPa (gauge),A*3
0B,1,Intake manifold absolute pressure,0,255,kPa (absolute),A
0C,2,Engine RPM,0,16383.75,rpm,((A*256)+B)/4
0D,1,Vehicle speed,0,255,km/h,A
0E,1,Timing advance,-64,63.5,° relative to #1 cylinder,(A-128)/2
0F,1,Intake air temperature,-40,215,°C,A-40
10,2,MAF air flow rate,0,655.35,grams/sec,((A*256)+B) / 100
11,1,Throttle position,0,100, %,A*100/255
12,1,Commanded secondary air status,,,,Bit encoded. See below
13,1,Oxygen sensors present,,,,"[A0..A3] == Bank 1, Sensors 1-4. [A4..A7] == Bank 2..."
14,2,"Bank 1, Sensor 1:
Oxygen sensor voltage,
Short term fuel trim","0
-100(lean)","1.275
99.2(rich)","Volts
%","A/200
(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)"
15,2,"Bank 1, Sensor 2:
Oxygen sensor voltage,
Short term fuel trim","0
-100(lean)","1.275
99.2(rich)","Volts
%","A/200
(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)"
16,2,"Bank 1, Sensor 3:
Oxygen sensor voltage,
Short term fuel trim","0
-100(lean)","1.275
99.2(rich)","Volts
%","A/200
(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)"
17,2,"Bank 1, Sensor 4:
Oxygen sensor voltage,
Short term fuel trim","0
-100(lean)","1.275
99.2(rich)","Volts
%","A/200
(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)"
18,2,"Bank 2, Sensor 1:
Oxygen sensor voltage,
Short term fuel trim","0
-100(lean)","1.275
99.2(rich)","Volts
%","A/200
(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)"
19,2,"Bank 2, Sensor 2:
Oxygen sensor voltage,
Short term fuel trim","0
-100(lean)","1.275
99.2(rich)","Volts
%","A/200
(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)"
1A,2,"Bank 2, Sensor 3:
Oxygen sensor voltage,
Short term fuel trim","0
-100(lean)","1.275
99.2(rich)","Volts
%","A/200
(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)"
1B,2,"Bank 2, Sensor 4:
Oxygen sensor voltage,
Short term fuel trim","0
-100(lean)","1.275
99.2(rich)","Volts
%","A/200
(B-128) * 100/128 (if B==$FF, sensor is not used in trim calc)"
1C,1,OBD standards this vehicle conforms to,,,,Bit encoded. See below
1D,1,Oxygen sensors present,,,,"Similar to PID 13, but [A0..A7] == [B1S1, B1S2, B2S1, B2S2, B3S1, B3S2, B4S1, B4S2]"
1E,1,Auxiliary input status,,,,"A0 == Power Take Off (PTO) status (1 == active)
[A1..A7] not used"
1F,2,Run time since engine start,0,65535,seconds,(A*256)+B
20,4,PIDs supported [21 - 40],,,,Bit encoded [A7..D0] == [PID $21..PID $40] See below
